component_id,review_status,ornament_label,image_count,relative_paths,decision,groups,notes
simcomp_768d54a7a1a17eb1,complete,01_opishnyan_ceramics,3,dataset_test/01_opishnyan_ceramics/o379_1.jpg|dataset_dev/01_opishnyan_ceramics/o377_1.jpg|dataset_dev/01_opishnyan_ceramics/o378_1.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_768d54a7a1a17eb1_g01"",""relationship"":""same_source"",""image_ids"":[""img_166c65513bea513d"",""img_16cd80834f899481"",""img_75f90ed598c0000c""]}]",Three different cup-and-saucer sets with an identical museum backdrop and watermark.
simcomp_d68678c7e3403ee6,complete,01_opishnyan_ceramics,3,dataset_test/01_opishnyan_ceramics/o371_1.jpg|dataset_dev/01_opishnyan_ceramics/o372_1.jpg|dataset_dev/01_opishnyan_ceramics/o370_1.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_d68678c7e3403ee6_g01"",""relationship"":""same_source"",""image_ids"":[""img_5e5f15214adb0fa2"",""img_c91f0cc2cfb74ca9"",""img_f8226a72a14f37e4""]}]",Three different floral mugs with an identical museum backdrop and watermark.
simcomp_f8e69f6767930319,complete,01_opishnyan_ceramics,3,dataset_test/01_opishnyan_ceramics/o283.jpeg|dataset_test/01_opishnyan_ceramics/o284.jpeg|dataset_dev/01_opishnyan_ceramics/o285.jpeg,same_source_distinct_objects,"[{""group_id"":""simcomp_f8e69f6767930319_g01"",""relationship"":""same_source"",""image_ids"":[""img_132232fc5279c9dc"",""img_4b15a6fe65b93e55"",""img_aa242586187f5fbe""]}]",Three differently painted candlesticks with an identical museum backdrop and watermark.
simcomp_abba215ebfb6646d,complete,01_opishnyan_ceramics,3,dataset_dev/01_opishnyan_ceramics/o318.jpeg|dataset_dev/01_opishnyan_ceramics/o316_1.jpeg|dataset_test/01_opishnyan_ceramics/o319_2.jpeg,same_source_distinct_objects,"[{""group_id"":""simcomp_abba215ebfb6646d_g01"",""relationship"":""same_source"",""image_ids"":[""img_2c6cbb40945726fc"",""img_677eaa2cb3288f4e"",""img_82597470ef24da72""]}]",Three distinct lidded vessels with an identical museum backdrop and watermark.
simcomp_2d9f6d7373d13630,complete,03_bubnivka_ceramics,2,dataset_dev/03_bubnivka_ceramics/b176.jpg|dataset_dev/03_bubnivka_ceramics/b192.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_2d9f6d7373d13630_g01"",""relationship"":""same_source"",""image_ids"":[""img_0f6ab1e4b97ea2d5"",""img_8e9d6d0848793e2f""]}]","Two differently painted Bubnivka plates on the same striped textile, indicating one acquisition source."
simcomp_097ef2b2edf470ff,complete,01_opishnyan_ceramics,2,dataset_dev/01_opishnyan_ceramics/o350.jpg|dataset_dev/01_opishnyan_ceramics/o348.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_097ef2b2edf470ff_g01"",""relationship"":""same_source"",""image_ids"":[""img_80f19b72cbeb44b8"",""img_ae3d0934052191a8""]}]",Two distinct plates with different palettes and ring patterns in the same museum studio.
simcomp_04e81dfde44f9958,complete,05_kosiv_ceramics,2,dataset_dev/05_kosiv_ceramics/k017.jpg|dataset_dev/05_kosiv_ceramics/k074.jpg,same_physical_object,"[{""group_id"":""simcomp_04e81dfde44f9958_g01"",""relationship"":""same_physical_object"",""image_ids"":[""img_0f709529eed7cdae"",""img_dc26276174d5d58b""]}]",The same circular Kosiv vessel and painted details appear in both; one is a lower-resolution crop of the museum image.
simcomp_42031ab351400073,complete,01_opishnyan_ceramics,4,dataset_dev/01_opishnyan_ceramics/o375_2.jpg|dataset_dev/01_opishnyan_ceramics/o376_3.jpg|dataset_dev/01_opishnyan_ceramics/o376_4.jpg|dataset_test/01_opishnyan_ceramics/o375_3.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_42031ab351400073_g01"",""relationship"":""same_source"",""image_ids"":[""img_2b9ab68e2321d4eb"",""img_9799c7b44a442e8b"",""img_bbd236a1de7ff5f0"",""img_d0833ac497c47d30""]}]","Two physical cup records, each shown from both sides, all photographed in the same museum studio/source."
simcomp_512fca3e9376a2fa,complete,01_opishnyan_ceramics,3,dataset_dev/01_opishnyan_ceramics/o344.jpeg|dataset_dev/01_opishnyan_ceramics/o343_2.jpeg|dataset_dev/01_opishnyan_ceramics/o346.jpeg,same_source_distinct_objects,"[{""group_id"":""simcomp_512fca3e9376a2fa_g01"",""relationship"":""same_source"",""image_ids"":[""img_263680a271f45ab6"",""img_5c99b427186b7fac"",""img_a0bd2f3d47df28bc""]}]",Three distinct shallow handled bowls with an identical museum backdrop and watermark.
simcomp_0ca8e54e40b908c6,complete,01_opishnyan_ceramics,2,dataset_dev/01_opishnyan_ceramics/o317_2.jpeg|dataset_dev/01_opishnyan_ceramics/o316_3.jpeg,same_source_distinct_objects,"[{""group_id"":""simcomp_0ca8e54e40b908c6_g01"",""relationship"":""same_source"",""image_ids"":[""img_f630af4581e58bf2"",""img_f65c2215486d520a""]}]",Two distinct lidded pots with different motifs in the same museum setup.
simcomp_4fe0871246121e18,complete,01_opishnyan_ceramics,2,dataset_dev/01_opishnyan_ceramics/o383_2.jpg|dataset_dev/01_opishnyan_ceramics/o277_1.jpg,same_physical_object,"[{""group_id"":""simcomp_4fe0871246121e18_g01"",""relationship"":""same_physical_object"",""image_ids"":[""img_0cdd398c23cc0673"",""img_70ace851c0eea7de""]}]",The same vase appears under o383 and o277: painted flower/leaf details and form match despite scale changes.
simcomp_8ba409b1e6ce29f2,complete,01_opishnyan_ceramics,2,dataset_dev/01_opishnyan_ceramics/o277_2.jpg|dataset_dev/01_opishnyan_ceramics/o383_1.jpg,same_physical_object,"[{""group_id"":""simcomp_8ba409b1e6ce29f2_g01"",""relationship"":""same_physical_object"",""image_ids"":[""img_4501eafafbe8ace5"",""img_6fddc613fdeb9269""]}]",The same vase reverse appears under o277 and o383: fruit/leaf details and form match.
simcomp_c037f5f168dfbf6f,complete,03_bubnivka_ceramics,2,dataset_dev/03_bubnivka_ceramics/b138.jpg|dataset_dev/03_bubnivka_ceramics/b140.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_c037f5f168dfbf6f_g01"",""relationship"":""same_source"",""image_ids"":[""img_6566125c7621f292"",""img_9efef095aca93f37""]}]",Two distinct Bubnivka plates with different central and rim designs on the same striped textile.
simcomp_938d346e54620095,complete,03_bubnivka_ceramics,2,dataset_dev/03_bubnivka_ceramics/b092.jpg|dataset_dev/03_bubnivka_ceramics/b091.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_938d346e54620095_g01"",""relationship"":""same_source"",""image_ids"":[""img_0caeb02ddec9bc03"",""img_72d816de4a7b41f1""]}]",Two arrangements of the same Bubnivka plate collection on the same table; grouped conservatively by source rather than as one object.
simcomp_5344ee5798905ecd,complete,01_opishnyan_ceramics,3,dataset_dev/01_opishnyan_ceramics/o253.jpg|dataset_test/01_opishnyan_ceramics/o254.jpg|dataset_test/01_opishnyan_ceramics/o252.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_5344ee5798905ecd_g01"",""relationship"":""same_source"",""image_ids"":[""img_110c9fea10138e38"",""img_1fce5d45a91c61fe"",""img_405b61e590499e61""]}]",Three distinct miniature bells with different paint schemes in the same museum setup.
simcomp_acc7f3939a49a517,complete,01_opishnyan_ceramics,4,dataset_dev/01_opishnyan_ceramics/o315_1.jpg|dataset_dev/01_opishnyan_ceramics/o316_2.jpeg|dataset_test/01_opishnyan_ceramics/o319_1.jpeg|dataset_dev/01_opishnyan_ceramics/o314_2.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_acc7f3939a49a517_g01"",""relationship"":""same_source"",""image_ids"":[""img_4138ddd251940fe0"",""img_4af5d3b94ef5f165"",""img_d5fc4b4084497255"",""img_d68d7bb3a9de6907""]}]","Four distinct lidded vessels with different motifs or shapes, all using the same museum backdrop and watermark."
simcomp_bac7f4deb424ea2a,complete,02_ornek,2,dataset_dev/02_ornek/kt007.jpg|dataset_dev/02_ornek/kt002.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_bac7f4deb424ea2a_g01"",""relationship"":""same_source"",""image_ids"":[""img_89c4037bb0217b13"",""img_dea2694e72bdb5da""]}]",Two rearrangements of the same Ornek cup collection on the same table; treated as a collection/source relation.
simcomp_45a862a3fd23fef4,complete,03_bubnivka_ceramics,3,dataset_dev/03_bubnivka_ceramics/b133.jpg|dataset_test/03_bubnivka_ceramics/b147.jpg|dataset_test/03_bubnivka_ceramics/b132.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_45a862a3fd23fef4_g01"",""relationship"":""same_source"",""image_ids"":[""img_60230e8e587cde3e"",""img_8c157450a217c62a"",""img_ddccc185ea5cb3ce""]}]",Three distinct Bubnivka plates with different painted motifs on the same striped textile.
simcomp_95f5cc9ffb25febc,complete,02_ornek,2,dataset_dev/02_ornek/kt293.jpg|dataset_dev/02_ornek/kt295.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_95f5cc9ffb25febc_g01"",""relationship"":""same_source"",""image_ids"":[""img_0fac5736468af3a0"",""img_8bf279a9dba415f7""]}]","Two distinct Ornek rugs presented with matching catalog framing, white background, and fringe."
simcomp_2815a815ea64cbf7,complete,02_ornek,2,dataset_dev/02_ornek/kt025.jpg|dataset_dev/02_ornek/kt026.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_2815a815ea64cbf7_g01"",""relationship"":""same_source"",""image_ids"":[""img_36469d06261e9f21"",""img_b64faf91caada9dd""]}]","Two distinct Ornek cups with different motifs, photographed on the same tabletop/background."
simcomp_d0ca4fcedb645d2a,complete,01_opishnyan_ceramics,3,dataset_test/01_opishnyan_ceramics/o358.jpg|dataset_dev/01_opishnyan_ceramics/o357.jpg|dataset_test/01_opishnyan_ceramics/o303.jpeg,same_source_distinct_objects,"[{""group_id"":""simcomp_d0ca4fcedb645d2a_g01"",""relationship"":""same_source"",""image_ids"":[""img_74538819b5b0bbf1"",""img_c1a10ea4766e4ce5"",""img_e6bbaf3dda9cc4c0""]}]",Three distinct floral plates in the same museum studio; the circular watermark placement varies.
simcomp_591d9116d4ccc493,complete,03_bubnivka_ceramics,2,dataset_dev/03_bubnivka_ceramics/b131.jpg|dataset_dev/03_bubnivka_ceramics/b146.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_591d9116d4ccc493_g01"",""relationship"":""same_source"",""image_ids"":[""img_37b080576530043f"",""img_d244aad3c09cd7f4""]}]",Two distinct Bubnivka plates with different central and rim motifs on the same striped textile.
simcomp_70aa9308ec7898e3,complete,05_kosiv_ceramics,2,dataset_dev/05_kosiv_ceramics/k356.jpg|dataset_dev/05_kosiv_ceramics/k326.jpg,distinct_unrelated,[],Distinct Kosiv plates with different designs and visibly different acquisition backgrounds; similarity is stylistic only.
simcomp_4f14e92e80ed24cd,complete,01_opishnyan_ceramics,2,dataset_dev/01_opishnyan_ceramics/o320_1.jpg|dataset_test/01_opishnyan_ceramics/o321_1.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_4f14e92e80ed24cd_g01"",""relationship"":""same_source"",""image_ids"":[""img_0c210b69b82f1fd8"",""img_af90f81ca583b88d""]}]",Two distinct painted lids in the same museum studio with the same watermark.
simcomp_e4761db4595c569d,complete,01_opishnyan_ceramics,2,dataset_dev/01_opishnyan_ceramics/o339_1.jpeg|dataset_dev/01_opishnyan_ceramics/o338_1.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_e4761db4595c569d_g01"",""relationship"":""same_source"",""image_ids"":[""img_167353db1dfd711a"",""img_ce66ac894919a50f""]}]",Two distinct pitchers in the same museum studio with the same watermark.
simcomp_416cf17ae42fc685,complete,01_opishnyan_ceramics,3,dataset_dev/01_opishnyan_ceramics/o300.jpeg|dataset_dev/01_opishnyan_ceramics/o294.jpg|dataset_test/01_opishnyan_ceramics/o299.jpeg,same_source_distinct_objects,"[{""group_id"":""simcomp_416cf17ae42fc685_g01"",""relationship"":""same_source"",""image_ids"":[""img_9a0c0533930e168b"",""img_ab31ebe0c4fe0d31"",""img_afdca78c8e225301""]}]",Three distinct candleholders or uncertain variants; the same museum studio and watermark support conservative source grouping.
simcomp_7c0fb3475be426a4,complete,01_opishnyan_ceramics,3,dataset_dev/01_opishnyan_ceramics/o332_1.jpeg|dataset_dev/01_opishnyan_ceramics/o333_1.jpeg|dataset_test/01_opishnyan_ceramics/o330_1.jpeg,same_source_distinct_objects,"[{""group_id"":""simcomp_7c0fb3475be426a4_g01"",""relationship"":""same_source"",""image_ids"":[""img_32a7f6a06ea40101"",""img_790386d594946b5a"",""img_bcc8cd23126a5768""]}]",Three distinct lidded jars with different band designs in the same museum studio.
simcomp_fd8556c6e14eae8f,complete,01_opishnyan_ceramics,2,dataset_test/01_opishnyan_ceramics/o323.jpg|dataset_dev/01_opishnyan_ceramics/o322.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_fd8556c6e14eae8f_g01"",""relationship"":""same_source"",""image_ids"":[""img_18060d827c3daf81"",""img_e3fe3fcda804d096""]}]",Two distinct floral pots in the same museum studio with the same watermark.
simcomp_f4a7bf388b301cb4,complete,01_opishnyan_ceramics,2,dataset_dev/01_opishnyan_ceramics/o327.jpg|dataset_dev/01_opishnyan_ceramics/o326.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_f4a7bf388b301cb4_g01"",""relationship"":""same_source"",""image_ids"":[""img_8b0729441c7ed0a4"",""img_b40d7077a7e1b17e""]}]",Two distinct miniature cups in the same museum studio with the same watermark.
simcomp_c5fa37caf75589be,complete,01_opishnyan_ceramics,2,dataset_dev/01_opishnyan_ceramics/o376_1.jpg|dataset_test/01_opishnyan_ceramics/o375_1.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_c5fa37caf75589be_g01"",""relationship"":""same_source"",""image_ids"":[""img_75759a575b270237"",""img_a41f538eaa3ca4fd""]}]",Two different cup-and-saucer records in the same museum studio with the same watermark.
simcomp_9d144906c82a8155,complete,02_ornek,2,dataset_dev/02_ornek/kt035.jpg|dataset_dev/02_ornek/kt033.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_9d144906c82a8155_g01"",""relationship"":""same_source"",""image_ids"":[""img_651297687ee0d338"",""img_c72e1cf108150e9a""]}]",Two arrangements of overlapping Ornek plates on the same stone surface; treated as one source/collection.
simcomp_a2451143f007723a,complete,01_opishnyan_ceramics,2,dataset_test/01_opishnyan_ceramics/o379_2.jpg|dataset_dev/01_opishnyan_ceramics/o378_2.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_a2451143f007723a_g01"",""relationship"":""same_source"",""image_ids"":[""img_763f34bf262c091b"",""img_e115d071d69dceb4""]}]",Two distinct cup-and-saucer sets in the same museum studio with the same watermark.
simcomp_d1a83a4e0e9cb188,complete,01_opishnyan_ceramics,2,dataset_test/01_opishnyan_ceramics/o345.jpeg|dataset_dev/01_opishnyan_ceramics/o343_1.jpeg,same_source_distinct_objects,"[{""group_id"":""simcomp_d1a83a4e0e9cb188_g01"",""relationship"":""same_source"",""image_ids"":[""img_74f059af8cdcd958"",""img_a0bfebe1febaa18c""]}]",Two distinct shallow handled bowls with different painted motifs in the same museum studio.
simcomp_f56c7f554f88ec35,complete,01_opishnyan_ceramics,2,dataset_dev/01_opishnyan_ceramics/o279.jpg|dataset_dev/01_opishnyan_ceramics/o278.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_f56c7f554f88ec35_g01"",""relationship"":""same_source"",""image_ids"":[""img_572c2f01a7795729"",""img_e7fbbd29e7795674""]}]",Two distinct miniature floral discs or objects in the same museum studio with the same watermark.
simcomp_c253c2cb6ed96911,complete,01_opishnyan_ceramics,3,dataset_dev/01_opishnyan_ceramics/o272.jpg|dataset_dev/01_opishnyan_ceramics/o273.jpg|dataset_test/01_opishnyan_ceramics/o274.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_c253c2cb6ed96911_g01"",""relationship"":""same_source"",""image_ids"":[""img_380bccfc3701715d"",""img_ac33dd3db98a540d"",""img_d9f2362b82df1168""]}]",Three distinct miniature vases in the same museum studio with the same watermark.
simcomp_3c009b55571ccca3,complete,01_opishnyan_ceramics,2,dataset_test/01_opishnyan_ceramics/o362_1.jpg|dataset_dev/01_opishnyan_ceramics/o361_1.jpg,same_source_distinct_objects,"[{""group_id"":""simcomp_3c009b55571ccca3_g01"",""relationship"":""same_source"",""image_ids"":[""img_44dae0b6e6112b8f"",""img_8d2701f4edef4fb2""]}]",Two distinct brown mugs with different white band patterns in the same museum studio.

