component_id,image_id,relative_path,ornament_label,production_split,cv_fold,old_split,candidate_object_group_id,confirmed_object_group_id,confirmed_source_group_id
simcomp_f8e69f6767930319,img_aa242586187f5fbe,dataset_dev/01_opishnyan_ceramics/o285.jpeg,01_opishnyan_ceramics,validation,0,dataset_dev,candidate_1f84534e3461322d,obj_manual_004_a,
simcomp_abba215ebfb6646d,img_2c6cbb40945726fc,dataset_dev/01_opishnyan_ceramics/o318.jpeg,01_opishnyan_ceramics,train,3,dataset_dev,candidate_235f3023997ecc2d,obj_single_2c6cbb40945726fc,
simcomp_abba215ebfb6646d,img_677eaa2cb3288f4e,dataset_dev/01_opishnyan_ceramics/o316_1.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_f144d2e174bfddbe,obj_manual_139,src_manual_139
simcomp_abba215ebfb6646d,img_82597470ef24da72,dataset_test/01_opishnyan_ceramics/o319_2.jpeg,01_opishnyan_ceramics,test,,dataset_test,candidate_716493c373446369,obj_manual_070,src_manual_070
simcomp_2d9f6d7373d13630,img_0f6ab1e4b97ea2d5,dataset_dev/03_bubnivka_ceramics/b176.jpg,03_bubnivka_ceramics,train,3,dataset_dev,candidate_ce0f5630fc7788e8,obj_single_0f6ab1e4b97ea2d5,
simcomp_2d9f6d7373d13630,img_8e9d6d0848793e2f,dataset_dev/03_bubnivka_ceramics/b192.jpg,03_bubnivka_ceramics,train,0,dataset_dev,candidate_2fb8fd20826d52c6,obj_single_8e9d6d0848793e2f,
simcomp_097ef2b2edf470ff,img_80f19b72cbeb44b8,dataset_dev/01_opishnyan_ceramics/o350.jpg,01_opishnyan_ceramics,validation,1,dataset_dev,candidate_1fb128baed6d0475,obj_single_80f19b72cbeb44b8,
simcomp_097ef2b2edf470ff,img_ae3d0934052191a8,dataset_dev/01_opishnyan_ceramics/o348.jpg,01_opishnyan_ceramics,train,3,dataset_dev,candidate_06261b2e09e91173,obj_single_ae3d0934052191a8,
simcomp_04e81dfde44f9958,img_0f709529eed7cdae,dataset_dev/05_kosiv_ceramics/k017.jpg,05_kosiv_ceramics,train,1,dataset_dev,candidate_e33eabdafae8c00f,obj_single_0f709529eed7cdae,
simcomp_04e81dfde44f9958,img_dc26276174d5d58b,dataset_dev/05_kosiv_ceramics/k074.jpg,05_kosiv_ceramics,train,2,dataset_dev,candidate_67180954aaffaa05,obj_single_dc26276174d5d58b,
simcomp_42031ab351400073,img_2b9ab68e2321d4eb,dataset_dev/01_opishnyan_ceramics/o375_2.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_0b2871a0da4df4f5,obj_manual_001_a,src_manual_001
simcomp_42031ab351400073,img_9799c7b44a442e8b,dataset_dev/01_opishnyan_ceramics/o376_3.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_3ec00b192d9e069b,obj_manual_044_a,src_manual_044
simcomp_42031ab351400073,img_bbd236a1de7ff5f0,dataset_dev/01_opishnyan_ceramics/o376_4.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_3ec00b192d9e069b,obj_manual_044_a,src_manual_044
simcomp_42031ab351400073,img_d0833ac497c47d30,dataset_test/01_opishnyan_ceramics/o375_3.jpg,01_opishnyan_ceramics,train,0,dataset_test,candidate_0b2871a0da4df4f5,obj_manual_001_a,src_manual_001
simcomp_512fca3e9376a2fa,img_263680a271f45ab6,dataset_dev/01_opishnyan_ceramics/o344.jpeg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_3ff0ce87ecf7e200,obj_single_263680a271f45ab6,
simcomp_512fca3e9376a2fa,img_5c99b427186b7fac,dataset_dev/01_opishnyan_ceramics/o343_2.jpeg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_da7161e23413fc1a,obj_manual_123,src_manual_123
simcomp_512fca3e9376a2fa,img_a0bd2f3d47df28bc,dataset_dev/01_opishnyan_ceramics/o346.jpeg,01_opishnyan_ceramics,test,,dataset_dev,candidate_e2c74a4ec23b5277,obj_single_a0bd2f3d47df28bc,
simcomp_0ca8e54e40b908c6,img_f630af4581e58bf2,dataset_dev/01_opishnyan_ceramics/o317_2.jpeg,01_opishnyan_ceramics,test,,dataset_dev,candidate_a0a43388c9c13730,obj_manual_095,src_manual_095
simcomp_0ca8e54e40b908c6,img_f65c2215486d520a,dataset_dev/01_opishnyan_ceramics/o316_3.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_f144d2e174bfddbe,obj_manual_139,src_manual_139
simcomp_4fe0871246121e18,img_0cdd398c23cc0673,dataset_dev/01_opishnyan_ceramics/o383_2.jpg,01_opishnyan_ceramics,train,1,dataset_dev,candidate_c3bcba0cdf33973c,obj_manual_112,src_manual_112
simcomp_4fe0871246121e18,img_70ace851c0eea7de,dataset_dev/01_opishnyan_ceramics/o277_1.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_f67eb63b5966b872,obj_manual_141,src_manual_141
simcomp_8ba409b1e6ce29f2,img_4501eafafbe8ace5,dataset_dev/01_opishnyan_ceramics/o277_2.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_f67eb63b5966b872,obj_manual_141,src_manual_141
simcomp_8ba409b1e6ce29f2,img_6fddc613fdeb9269,dataset_dev/01_opishnyan_ceramics/o383_1.jpg,01_opishnyan_ceramics,train,1,dataset_dev,candidate_c3bcba0cdf33973c,obj_manual_112,src_manual_112
simcomp_c037f5f168dfbf6f,img_6566125c7621f292,dataset_dev/03_bubnivka_ceramics/b138.jpg,03_bubnivka_ceramics,train,1,dataset_dev,candidate_b28d7acd7bf516c5,obj_single_6566125c7621f292,
simcomp_c037f5f168dfbf6f,img_9efef095aca93f37,dataset_dev/03_bubnivka_ceramics/b140.jpg,03_bubnivka_ceramics,train,3,dataset_dev,candidate_c9a5f3ffbac9b94d,obj_single_9efef095aca93f37,
simcomp_938d346e54620095,img_0caeb02ddec9bc03,dataset_dev/03_bubnivka_ceramics/b092.jpg,03_bubnivka_ceramics,train,3,dataset_dev,candidate_ad56636c6087ba7e,obj_single_0caeb02ddec9bc03,
simcomp_938d346e54620095,img_72d816de4a7b41f1,dataset_dev/03_bubnivka_ceramics/b091.jpg,03_bubnivka_ceramics,train,0,dataset_dev,candidate_59743a7fe065deca,obj_single_72d816de4a7b41f1,
simcomp_5344ee5798905ecd,img_110c9fea10138e38,dataset_dev/01_opishnyan_ceramics/o253.jpg,01_opishnyan_ceramics,validation,0,dataset_dev,candidate_0c6d4cf5c494f47c,obj_single_110c9fea10138e38,
simcomp_5344ee5798905ecd,img_1fce5d45a91c61fe,dataset_test/01_opishnyan_ceramics/o254.jpg,01_opishnyan_ceramics,train,1,dataset_test,candidate_c926a1f08cae4540,obj_single_1fce5d45a91c61fe,
simcomp_5344ee5798905ecd,img_405b61e590499e61,dataset_test/01_opishnyan_ceramics/o252.jpg,01_opishnyan_ceramics,train,0,dataset_test,candidate_b9861f0782cb75ab,obj_single_405b61e590499e61,
simcomp_acc7f3939a49a517,img_4138ddd251940fe0,dataset_dev/01_opishnyan_ceramics/o315_1.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_bb7c37a1735f0d29,obj_manual_109,src_manual_109
simcomp_acc7f3939a49a517,img_4af5d3b94ef5f165,dataset_dev/01_opishnyan_ceramics/o316_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_f144d2e174bfddbe,obj_manual_139,src_manual_139
simcomp_acc7f3939a49a517,img_d5fc4b4084497255,dataset_test/01_opishnyan_ceramics/o319_1.jpeg,01_opishnyan_ceramics,test,,dataset_test,candidate_716493c373446369,obj_manual_070,src_manual_070
simcomp_acc7f3939a49a517,img_d68d7bb3a9de6907,dataset_dev/01_opishnyan_ceramics/o314_2.jpg,01_opishnyan_ceramics,validation,3,dataset_dev,candidate_8849b7f086d3f5f4,obj_manual_085,src_manual_085
simcomp_bac7f4deb424ea2a,img_89c4037bb0217b13,dataset_dev/02_ornek/kt007.jpg,02_ornek,train,1,dataset_dev,candidate_71bb8779956f36c6,obj_single_89c4037bb0217b13,
simcomp_bac7f4deb424ea2a,img_dea2694e72bdb5da,dataset_dev/02_ornek/kt002.jpg,02_ornek,train,3,dataset_dev,candidate_1e48ba070f65e463,obj_single_dea2694e72bdb5da,
simcomp_45a862a3fd23fef4,img_60230e8e587cde3e,dataset_dev/03_bubnivka_ceramics/b133.jpg,03_bubnivka_ceramics,train,2,dataset_dev,candidate_a3f0fa9dc6a49434,obj_single_60230e8e587cde3e,
simcomp_45a862a3fd23fef4,img_8c157450a217c62a,dataset_test/03_bubnivka_ceramics/b147.jpg,03_bubnivka_ceramics,validation,3,dataset_test,candidate_6c939d2d29e94936,obj_single_8c157450a217c62a,
simcomp_45a862a3fd23fef4,img_ddccc185ea5cb3ce,dataset_test/03_bubnivka_ceramics/b132.jpg,03_bubnivka_ceramics,train,1,dataset_test,candidate_d0a0a2be61529c41,obj_single_ddccc185ea5cb3ce,
simcomp_95f5cc9ffb25febc,img_0fac5736468af3a0,dataset_dev/02_ornek/kt293.jpg,02_ornek,train,4,dataset_dev,candidate_cf48ff0596d55d42,obj_single_0fac5736468af3a0,
simcomp_95f5cc9ffb25febc,img_8bf279a9dba415f7,dataset_dev/02_ornek/kt295.jpg,02_ornek,train,3,dataset_dev,candidate_5a7e41eff1d77054,obj_single_8bf279a9dba415f7,
simcomp_2815a815ea64cbf7,img_36469d06261e9f21,dataset_dev/02_ornek/kt025.jpg,02_ornek,train,4,dataset_dev,candidate_82bc554e22178928,obj_single_36469d06261e9f21,
simcomp_2815a815ea64cbf7,img_b64faf91caada9dd,dataset_dev/02_ornek/kt026.jpg,02_ornek,train,2,dataset_dev,candidate_9f6e5d692da47c1d,obj_single_b64faf91caada9dd,
simcomp_d0ca4fcedb645d2a,img_74538819b5b0bbf1,dataset_test/01_opishnyan_ceramics/o358.jpg,01_opishnyan_ceramics,train,2,dataset_test,candidate_bd2bf5e87f2d1532,obj_single_74538819b5b0bbf1,
simcomp_d0ca4fcedb645d2a,img_c1a10ea4766e4ce5,dataset_dev/01_opishnyan_ceramics/o357.jpg,01_opishnyan_ceramics,validation,4,dataset_dev,candidate_2c73140f7a4579b4,obj_single_c1a10ea4766e4ce5,
simcomp_d0ca4fcedb645d2a,img_e6bbaf3dda9cc4c0,dataset_test/01_opishnyan_ceramics/o303.jpeg,01_opishnyan_ceramics,train,4,dataset_test,candidate_b011f369d0632277,obj_single_e6bbaf3dda9cc4c0,
simcomp_591d9116d4ccc493,img_37b080576530043f,dataset_dev/03_bubnivka_ceramics/b131.jpg,03_bubnivka_ceramics,validation,1,dataset_dev,candidate_05273ea07e7ea3cf,obj_single_37b080576530043f,
simcomp_591d9116d4ccc493,img_d244aad3c09cd7f4,dataset_dev/03_bubnivka_ceramics/b146.jpg,03_bubnivka_ceramics,validation,1,dataset_dev,candidate_768129989a786d50,obj_single_d244aad3c09cd7f4,
simcomp_70aa9308ec7898e3,img_27e5a8e5c679e3e8,dataset_dev/05_kosiv_ceramics/k356.jpg,05_kosiv_ceramics,test,,dataset_dev,candidate_8a8d20f0270c41ed,obj_single_27e5a8e5c679e3e8,
simcomp_70aa9308ec7898e3,img_a10839705ffd64e9,dataset_dev/05_kosiv_ceramics/k326.jpg,05_kosiv_ceramics,train,0,dataset_dev,candidate_43565940550b21da,obj_single_a10839705ffd64e9,
simcomp_4f14e92e80ed24cd,img_0c210b69b82f1fd8,dataset_dev/01_opishnyan_ceramics/o320_1.jpg,01_opishnyan_ceramics,validation,2,dataset_dev,candidate_de1a6529fb4bbf0a,obj_manual_126,src_manual_126
simcomp_4f14e92e80ed24cd,img_af90f81ca583b88d,dataset_test/01_opishnyan_ceramics/o321_1.jpg,01_opishnyan_ceramics,validation,1,dataset_test,candidate_5ffc63ae7f4e8cd0,obj_manual_060,src_manual_060
simcomp_e4761db4595c569d,img_167353db1dfd711a,dataset_dev/01_opishnyan_ceramics/o339_1.jpeg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_a25a920c14f915f5,obj_manual_096,src_manual_096
simcomp_e4761db4595c569d,img_ce66ac894919a50f,dataset_dev/01_opishnyan_ceramics/o338_1.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_411cfad67a19214c,obj_manual_046,src_manual_046
simcomp_416cf17ae42fc685,img_9a0c0533930e168b,dataset_dev/01_opishnyan_ceramics/o300.jpeg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_76198cddd7edfb14,obj_single_9a0c0533930e168b,
simcomp_416cf17ae42fc685,img_ab31ebe0c4fe0d31,dataset_dev/01_opishnyan_ceramics/o294.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_ba18dbd8654a9fba,obj_manual_108_b,
simcomp_416cf17ae42fc685,img_afdca78c8e225301,dataset_test/01_opishnyan_ceramics/o299.jpeg,01_opishnyan_ceramics,validation,3,dataset_test,candidate_bb79ac13e02c0823,obj_single_afdca78c8e225301,
simcomp_7c0fb3475be426a4,img_32a7f6a06ea40101,dataset_dev/01_opishnyan_ceramics/o332_1.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_368537d892e43c95,obj_manual_043,src_manual_043
simcomp_7c0fb3475be426a4,img_790386d594946b5a,dataset_dev/01_opishnyan_ceramics/o333_1.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_afc0791456e1d38a,obj_manual_102_b,src_manual_102
simcomp_7c0fb3475be426a4,img_bcc8cd23126a5768,dataset_test/01_opishnyan_ceramics/o330_1.jpeg,01_opishnyan_ceramics,train,2,dataset_test,candidate_32d791f8ac405a24,obj_manual_041,src_manual_041
simcomp_fd8556c6e14eae8f,img_18060d827c3daf81,dataset_test/01_opishnyan_ceramics/o323.jpg,01_opishnyan_ceramics,test,,dataset_test,candidate_826a185a4a52f0bc,obj_single_18060d827c3daf81,
simcomp_fd8556c6e14eae8f,img_e3fe3fcda804d096,dataset_dev/01_opishnyan_ceramics/o322.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_92154f0ea665c5d2,obj_single_e3fe3fcda804d096,
simcomp_f4a7bf388b301cb4,img_8b0729441c7ed0a4,dataset_dev/01_opishnyan_ceramics/o327.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_74bfa10f03a0cd5e,obj_single_8b0729441c7ed0a4,
simcomp_f4a7bf388b301cb4,img_b40d7077a7e1b17e,dataset_dev/01_opishnyan_ceramics/o326.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_24d684d178dc4b00,obj_manual_005,src_manual_005
simcomp_c5fa37caf75589be,img_75759a575b270237,dataset_dev/01_opishnyan_ceramics/o376_1.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_3ec00b192d9e069b,obj_manual_044_a,src_manual_044
simcomp_c5fa37caf75589be,img_a41f538eaa3ca4fd,dataset_test/01_opishnyan_ceramics/o375_1.jpg,01_opishnyan_ceramics,train,0,dataset_test,candidate_0b2871a0da4df4f5,obj_manual_001_a,src_manual_001
simcomp_9d144906c82a8155,img_651297687ee0d338,dataset_dev/02_ornek/kt035.jpg,02_ornek,train,4,dataset_dev,candidate_78d184d91c0fe2fe,obj_single_651297687ee0d338,
simcomp_9d144906c82a8155,img_c72e1cf108150e9a,dataset_dev/02_ornek/kt033.jpg,02_ornek,test,,dataset_dev,candidate_69e004bd060264c9,obj_single_c72e1cf108150e9a,
simcomp_a2451143f007723a,img_763f34bf262c091b,dataset_test/01_opishnyan_ceramics/o379_2.jpg,01_opishnyan_ceramics,validation,0,dataset_test,candidate_4ee4d6a4946a3921,obj_manual_053,src_manual_053
simcomp_a2451143f007723a,img_e115d071d69dceb4,dataset_dev/01_opishnyan_ceramics/o378_2.jpg,01_opishnyan_ceramics,train,1,dataset_dev,candidate_ceae1279243fd46c,obj_manual_118,src_manual_118
simcomp_d1a83a4e0e9cb188,img_74f059af8cdcd958,dataset_test/01_opishnyan_ceramics/o345.jpeg,01_opishnyan_ceramics,train,0,dataset_test,candidate_737e04f533e7648c,obj_single_74f059af8cdcd958,
simcomp_d1a83a4e0e9cb188,img_a0bfebe1febaa18c,dataset_dev/01_opishnyan_ceramics/o343_1.jpeg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_da7161e23413fc1a,obj_manual_123,src_manual_123
simcomp_f56c7f554f88ec35,img_572c2f01a7795729,dataset_dev/01_opishnyan_ceramics/o279.jpg,01_opishnyan_ceramics,validation,2,dataset_dev,candidate_5241b002d77151b5,obj_manual_056_b,
simcomp_f56c7f554f88ec35,img_e7fbbd29e7795674,dataset_dev/01_opishnyan_ceramics/o278.jpg,01_opishnyan_ceramics,test,,dataset_dev,candidate_5241b002d77151b5,obj_manual_056_a,
simcomp_c253c2cb6ed96911,img_380bccfc3701715d,dataset_dev/01_opishnyan_ceramics/o272.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_9a2ce8d881f126ed,obj_manual_094_a,
simcomp_c253c2cb6ed96911,img_ac33dd3db98a540d,dataset_dev/01_opishnyan_ceramics/o273.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_9a2ce8d881f126ed,obj_manual_094_b,
simcomp_c253c2cb6ed96911,img_d9f2362b82df1168,dataset_test/01_opishnyan_ceramics/o274.jpg,01_opishnyan_ceramics,train,1,dataset_test,candidate_7291cd4b9500ff09,obj_single_d9f2362b82df1168,
simcomp_3c009b55571ccca3,img_44dae0b6e6112b8f,dataset_test/01_opishnyan_ceramics/o362_1.jpg,01_opishnyan_ceramics,train,4,dataset_test,candidate_7913d1d0d4c6c1be,obj_manual_009_c,src_manual_009
simcomp_3c009b55571ccca3,img_8d2701f4edef4fb2,dataset_dev/01_opishnyan_ceramics/o361_1.jpg,01_opishnyan_ceramics,train,3,dataset_dev,candidate_b59214539333dc41,obj_manual_106,src_manual_106
