rank,component_id,review_priority,priority_score,image_id_a,relative_path_a,ornament_label_a,production_split_a,cv_fold_a,old_split_a,candidate_object_group_id_a,confirmed_object_group_id_a,confirmed_source_group_id_a,image_id_b,relative_path_b,ornament_label_b,production_split_b,cv_fold_b,old_split_b,candidate_object_group_id_b,confirmed_object_group_id_b,confirmed_source_group_id_b,cosine_cls_patch_concat,cosine_patch_mean,trigger_concat,trigger_patch_mean,same_label,same_candidate_group,same_content_sha256,cross_production_split,cross_cv_fold,touches_current_test,current_evaluation_boundary
11,simcomp_64860b83462509a0,critical,1.033558000,img_42a15338b3c1eace,dataset_test/01_opishnyan_ceramics/o330_2.jpeg,01_opishnyan_ceramics,train,2,dataset_test,candidate_32d791f8ac405a24,obj_manual_041,src_manual_041,img_97a348c31caf8582,dataset_dev/01_opishnyan_ceramics/o331_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_09d651f003bb3fcb,obj_manual_021,src_manual_021,0.961208940,0.983654499,true,true,true,false,false,false,false,false,
12,simcomp_64860b83462509a0,critical,1.033174671,img_42a15338b3c1eace,dataset_test/01_opishnyan_ceramics/o330_2.jpeg,01_opishnyan_ceramics,train,2,dataset_test,candidate_32d791f8ac405a24,obj_manual_041,src_manual_041,img_e2d91c0c40f13953,dataset_dev/01_opishnyan_ceramics/o329_2.jpeg,01_opishnyan_ceramics,validation,2,dataset_dev,candidate_d81b58aebb19c3c1,obj_manual_122,src_manual_122,0.960852444,0.987336576,true,true,true,false,false,true,false,false,train_vs_validation
13,simcomp_f5dc88c4e242860c,critical,1.033084046,img_8515d4a87991c252,dataset_dev/04_petrykivka_painting/201.png,04_petrykivka_painting,train,4,dataset_dev,candidate_c6f4e3bea0fd6bfe,obj_single_8515d4a87991c252,,img_d84bd8c5022f368f,dataset_dev/04_petrykivka_painting/207.jpg,04_petrykivka_painting,train,3,dataset_dev,candidate_4cb440e772235bbb,obj_single_d84bd8c5022f368f,,0.960768163,0.983482301,true,true,true,false,false,false,true,false,
14,simcomp_64860b83462509a0,critical,1.032767629,img_7cd57aa849bbb3da,dataset_dev/01_opishnyan_ceramics/o333_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_afc0791456e1d38a,obj_manual_102_b,src_manual_102,img_97a348c31caf8582,dataset_dev/01_opishnyan_ceramics/o331_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_09d651f003bb3fcb,obj_manual_021,src_manual_021,0.960473895,0.982301593,true,true,true,false,false,false,false,false,
15,simcomp_b1629171f7420b42,critical,1.030578088,img_10e68b42ffd61bab,dataset_dev/01_opishnyan_ceramics/o157.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_b9093e59d59eea20,obj_single_10e68b42ffd61bab,,img_d2f520a7e3bac646,dataset_test/01_opishnyan_ceramics/o156.jpg,01_opishnyan_ceramics,train,4,dataset_test,candidate_f25a323ab5edcc0b,obj_single_d2f520a7e3bac646,,0.958437622,0.972627223,true,false,true,false,false,false,true,false,
16,simcomp_b1629171f7420b42,critical,1.030170020,img_10e68b42ffd61bab,dataset_dev/01_opishnyan_ceramics/o157.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_b9093e59d59eea20,obj_single_10e68b42ffd61bab,,img_efa59e5c3378c310,dataset_dev/01_opishnyan_ceramics/o155.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_e563a97590c1f266,obj_single_efa59e5c3378c310,,0.958058119,0.977135241,true,false,true,false,false,false,true,false,
17,simcomp_64860b83462509a0,critical,1.025296283,img_05f20236656b6a2b,dataset_dev/01_opishnyan_ceramics/o332_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_368537d892e43c95,obj_manual_043,src_manual_043,img_e2d91c0c40f13953,dataset_dev/01_opishnyan_ceramics/o329_2.jpeg,01_opishnyan_ceramics,validation,2,dataset_dev,candidate_d81b58aebb19c3c1,obj_manual_122,src_manual_122,0.953525543,0.984264910,true,true,true,false,false,true,false,false,train_vs_validation
18,simcomp_fa45b1d49d6822d2,critical,1.024836494,img_21ca6d7a68406cca,dataset_dev/01_opishnyan_ceramics/o366_1.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_7913d1d0d4c6c1be,obj_manual_009_b,src_manual_009,img_ce2b553062ec2b5f,dataset_test/01_opishnyan_ceramics/o365_1.jpg,01_opishnyan_ceramics,train,4,dataset_test,candidate_ada644db4dceed48,obj_manual_011_c,src_manual_011,0.953097939,0.986041605,true,true,true,false,false,false,false,false,
19,simcomp_b468c0bdf12f26b8,critical,1.024713055,img_02ac6c4e11d08064,dataset_dev/05_kosiv_ceramics/k245.jpg,05_kosiv_ceramics,train,0,dataset_dev,candidate_220f54b3188fd02f,obj_single_02ac6c4e11d08064,,img_f189802edd349754,dataset_dev/05_kosiv_ceramics/k244.jpg,05_kosiv_ceramics,train,1,dataset_dev,candidate_65b36451c781a6bf,obj_single_f189802edd349754,,0.952983141,0.975432575,true,false,true,false,false,false,true,false,
20,simcomp_af32157d6d2d345e,critical,1.023695289,img_132ac06c4185d62b,dataset_dev/01_opishnyan_ceramics/o177.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_13c3520ab169f634,obj_manual_030_a,,img_18dff748fa839596,dataset_dev/01_opishnyan_ceramics/o179.jpg,01_opishnyan_ceramics,validation,1,dataset_dev,candidate_13c3520ab169f634,obj_manual_030_b,,0.952036619,0.976350129,true,false,true,true,false,true,true,false,train_vs_validation
21,simcomp_9391bd1fc517cc38,critical,1.022449488,img_006c937ca5cdaef2,dataset_dev/02_ornek/kt009.jpg,02_ornek,train,4,dataset_dev,candidate_a4efaf645d3c28d1,obj_single_006c937ca5cdaef2,,img_7c07286f61d4030b,dataset_test/02_ornek/kt008.jpg,02_ornek,train,0,dataset_test,candidate_706dd5ef4bdbdcc1,obj_single_7c07286f61d4030b,,0.950878024,0.981399059,true,true,true,false,false,false,true,false,
22,simcomp_768d54a7a1a17eb1,critical,1.021972459,img_16cd80834f899481,dataset_dev/01_opishnyan_ceramics/o377_1.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_9a2ce8d881f126ed,obj_manual_094_c,,img_75f90ed598c0000c,dataset_dev/01_opishnyan_ceramics/o378_1.jpg,01_opishnyan_ceramics,train,1,dataset_dev,candidate_ceae1279243fd46c,obj_manual_118,src_manual_118,0.950434387,0.987696886,true,true,true,false,false,false,true,false,
23,simcomp_fa45b1d49d6822d2,critical,1.013022020,img_21ca6d7a68406cca,dataset_dev/01_opishnyan_ceramics/o366_1.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_7913d1d0d4c6c1be,obj_manual_009_b,src_manual_009,img_b900b1b12072cd15,dataset_dev/01_opishnyan_ceramics/o368_2.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_ada644db4dceed48,obj_manual_011_b,src_manual_011,0.942110479,0.986964643,true,true,true,false,false,false,false,false,
24,simcomp_fa45b1d49d6822d2,critical,1.012978887,img_21ca6d7a68406cca,dataset_dev/01_opishnyan_ceramics/o366_1.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_7913d1d0d4c6c1be,obj_manual_009_b,src_manual_009,img_c86a1ccd325ec77a,dataset_test/01_opishnyan_ceramics/o365_2.jpg,01_opishnyan_ceramics,train,4,dataset_test,candidate_ada644db4dceed48,obj_manual_011_c,src_manual_011,0.942070365,0.986254513,true,true,true,false,false,false,false,false,
25,simcomp_768d54a7a1a17eb1,critical,1.012527302,img_166c65513bea513d,dataset_test/01_opishnyan_ceramics/o379_1.jpg,01_opishnyan_ceramics,validation,0,dataset_test,candidate_4ee4d6a4946a3921,obj_manual_053,src_manual_053,img_75f90ed598c0000c,dataset_dev/01_opishnyan_ceramics/o378_1.jpg,01_opishnyan_ceramics,train,1,dataset_dev,candidate_ceae1279243fd46c,obj_manual_118,src_manual_118,0.941650391,0.988385439,true,true,true,false,false,true,true,false,train_vs_validation
26,simcomp_d68678c7e3403ee6,critical,1.008676137,img_5e5f15214adb0fa2,dataset_test/01_opishnyan_ceramics/o371_1.jpg,01_opishnyan_ceramics,train,0,dataset_test,candidate_cfd6dc08468aa01c,obj_manual_119,src_manual_119,img_f8226a72a14f37e4,dataset_dev/01_opishnyan_ceramics/o370_1.jpg,01_opishnyan_ceramics,test,,dataset_dev,candidate_ecf809841113b2ee,obj_manual_138_a,src_manual_138,0.938068807,0.988479853,true,true,true,false,false,true,false,true,test_vs_development
27,simcomp_768d54a7a1a17eb1,critical,1.008118902,img_166c65513bea513d,dataset_test/01_opishnyan_ceramics/o379_1.jpg,01_opishnyan_ceramics,validation,0,dataset_test,candidate_4ee4d6a4946a3921,obj_manual_053,src_manual_053,img_16cd80834f899481,dataset_dev/01_opishnyan_ceramics/o377_1.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_9a2ce8d881f126ed,obj_manual_094_c,,0.934125781,0.987956524,true,true,true,false,false,true,true,false,train_vs_validation
28,simcomp_f8e69f6767930319,critical,1.007581526,img_132232fc5279c9dc,dataset_test/01_opishnyan_ceramics/o283.jpeg,01_opishnyan_ceramics,train,2,dataset_test,candidate_53bb7055d9f5163a,obj_single_132232fc5279c9dc,,img_aa242586187f5fbe,dataset_dev/01_opishnyan_ceramics/o285.jpeg,01_opishnyan_ceramics,validation,0,dataset_dev,candidate_1f84534e3461322d,obj_manual_004_a,,0.937050819,0.986669004,true,true,true,false,false,true,true,false,train_vs_validation
29,simcomp_d68678c7e3403ee6,critical,1.005953246,img_5e5f15214adb0fa2,dataset_test/01_opishnyan_ceramics/o371_1.jpg,01_opishnyan_ceramics,train,0,dataset_test,candidate_cfd6dc08468aa01c,obj_manual_119,src_manual_119,img_c91f0cc2cfb74ca9,dataset_dev/01_opishnyan_ceramics/o372_1.jpg,01_opishnyan_ceramics,test,,dataset_dev,candidate_ecf809841113b2ee,obj_manual_138_b,src_manual_138,0.904180527,0.985834181,false,true,true,false,false,true,false,true,test_vs_development
30,simcomp_abba215ebfb6646d,review,1.021322704,img_2c6cbb40945726fc,dataset_dev/01_opishnyan_ceramics/o318.jpeg,01_opishnyan_ceramics,train,3,dataset_dev,candidate_235f3023997ecc2d,obj_single_2c6cbb40945726fc,,img_82597470ef24da72,dataset_test/01_opishnyan_ceramics/o319_2.jpeg,01_opishnyan_ceramics,test,,dataset_test,candidate_716493c373446369,obj_manual_070,src_manual_070,0.949830115,0.982332468,true,true,true,false,false,true,false,true,test_vs_development
31,simcomp_9391bd1fc517cc38,review,1.019746001,img_006c937ca5cdaef2,dataset_dev/02_ornek/kt009.jpg,02_ornek,train,4,dataset_dev,candidate_a4efaf645d3c28d1,obj_single_006c937ca5cdaef2,,img_1c2ee99029f51a78,dataset_dev/02_ornek/kt010.jpg,02_ornek,train,3,dataset_dev,candidate_bd2b812a072fbc86,obj_single_1c2ee99029f51a78,,0.948363781,0.977314055,true,false,true,false,false,false,true,false,
32,simcomp_2d9f6d7373d13630,review,1.019218917,img_0f6ab1e4b97ea2d5,dataset_dev/03_bubnivka_ceramics/b176.jpg,03_bubnivka_ceramics,train,3,dataset_dev,candidate_ce0f5630fc7788e8,obj_single_0f6ab1e4b97ea2d5,,img_8e9d6d0848793e2f,dataset_dev/03_bubnivka_ceramics/b192.jpg,03_bubnivka_ceramics,train,0,dataset_dev,candidate_2fb8fd20826d52c6,obj_single_8e9d6d0848793e2f,,0.947873592,0.962603152,true,false,true,false,false,false,true,false,
33,simcomp_097ef2b2edf470ff,review,1.018095016,img_80f19b72cbeb44b8,dataset_dev/01_opishnyan_ceramics/o350.jpg,01_opishnyan_ceramics,validation,1,dataset_dev,candidate_1fb128baed6d0475,obj_single_80f19b72cbeb44b8,,img_ae3d0934052191a8,dataset_dev/01_opishnyan_ceramics/o348.jpg,01_opishnyan_ceramics,train,3,dataset_dev,candidate_06261b2e09e91173,obj_single_ae3d0934052191a8,,0.946828365,0.977374792,true,false,true,false,false,true,true,false,train_vs_validation
34,simcomp_04e81dfde44f9958,review,1.017225109,img_0f709529eed7cdae,dataset_dev/05_kosiv_ceramics/k017.jpg,05_kosiv_ceramics,train,1,dataset_dev,candidate_e33eabdafae8c00f,obj_single_0f709529eed7cdae,,img_dc26276174d5d58b,dataset_dev/05_kosiv_ceramics/k074.jpg,05_kosiv_ceramics,train,2,dataset_dev,candidate_67180954aaffaa05,obj_single_dc26276174d5d58b,,0.946019351,0.970764697,true,false,true,false,false,false,true,false,
35,simcomp_42031ab351400073,review,1.016954581,img_2b9ab68e2321d4eb,dataset_dev/01_opishnyan_ceramics/o375_2.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_0b2871a0da4df4f5,obj_manual_001_a,src_manual_001,img_9799c7b44a442e8b,dataset_dev/01_opishnyan_ceramics/o376_3.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_3ec00b192d9e069b,obj_manual_044_a,src_manual_044,0.945767760,0.976861238,true,false,true,false,false,false,true,false,
36,simcomp_512fca3e9376a2fa,review,1.016378595,img_5c99b427186b7fac,dataset_dev/01_opishnyan_ceramics/o343_2.jpeg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_da7161e23413fc1a,obj_manual_123,src_manual_123,img_a0bd2f3d47df28bc,dataset_dev/01_opishnyan_ceramics/o346.jpeg,01_opishnyan_ceramics,test,,dataset_dev,candidate_e2c74a4ec23b5277,obj_single_a0bd2f3d47df28bc,,0.945232093,0.978797555,true,false,true,false,false,true,false,true,test_vs_development
37,simcomp_0ca8e54e40b908c6,review,1.015237519,img_f630af4581e58bf2,dataset_dev/01_opishnyan_ceramics/o317_2.jpeg,01_opishnyan_ceramics,test,,dataset_dev,candidate_a0a43388c9c13730,obj_manual_095,src_manual_095,img_f65c2215486d520a,dataset_dev/01_opishnyan_ceramics/o316_3.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_f144d2e174bfddbe,obj_manual_139,src_manual_139,0.944170892,0.969912410,true,false,true,false,false,true,false,true,test_vs_development
38,simcomp_4fe0871246121e18,review,1.015172018,img_0cdd398c23cc0673,dataset_dev/01_opishnyan_ceramics/o383_2.jpg,01_opishnyan_ceramics,train,1,dataset_dev,candidate_c3bcba0cdf33973c,obj_manual_112,src_manual_112,img_70ace851c0eea7de,dataset_dev/01_opishnyan_ceramics/o277_1.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_f67eb63b5966b872,obj_manual_141,src_manual_141,0.944109976,0.973799348,true,false,true,false,false,false,true,false,
39,simcomp_fa45b1d49d6822d2,review,1.013741314,img_21ca6d7a68406cca,dataset_dev/01_opishnyan_ceramics/o366_1.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_7913d1d0d4c6c1be,obj_manual_009_b,src_manual_009,img_be90b72e2adebfe6,dataset_dev/01_opishnyan_ceramics/o367_2.jpg,01_opishnyan_ceramics,train,4,dataset_dev,candidate_ada644db4dceed48,obj_manual_011_a,src_manual_011,0.942779422,0.983118534,true,true,true,false,false,false,false,false,
40,simcomp_8ba409b1e6ce29f2,review,1.013439445,img_4501eafafbe8ace5,dataset_dev/01_opishnyan_ceramics/o277_2.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_f67eb63b5966b872,obj_manual_141,src_manual_141,img_6fddc613fdeb9269,dataset_dev/01_opishnyan_ceramics/o383_1.jpg,01_opishnyan_ceramics,train,1,dataset_dev,candidate_c3bcba0cdf33973c,obj_manual_112,src_manual_112,0.942498684,0.973298132,true,false,true,false,false,false,true,false,
41,simcomp_c037f5f168dfbf6f,review,1.011793460,img_6566125c7621f292,dataset_dev/03_bubnivka_ceramics/b138.jpg,03_bubnivka_ceramics,train,1,dataset_dev,candidate_b28d7acd7bf516c5,obj_single_6566125c7621f292,,img_9efef095aca93f37,dataset_dev/03_bubnivka_ceramics/b140.jpg,03_bubnivka_ceramics,train,3,dataset_dev,candidate_c9a5f3ffbac9b94d,obj_single_9efef095aca93f37,,0.940967917,0.961356461,true,false,true,false,false,false,true,false,
42,simcomp_938d346e54620095,review,1.011791345,img_0caeb02ddec9bc03,dataset_dev/03_bubnivka_ceramics/b092.jpg,03_bubnivka_ceramics,train,3,dataset_dev,candidate_ad56636c6087ba7e,obj_single_0caeb02ddec9bc03,,img_72d816de4a7b41f1,dataset_dev/03_bubnivka_ceramics/b091.jpg,03_bubnivka_ceramics,train,0,dataset_dev,candidate_59743a7fe065deca,obj_single_72d816de4a7b41f1,,0.940965950,0.973067641,true,false,true,false,false,false,true,false,
43,simcomp_5344ee5798905ecd,review,1.010936755,img_110c9fea10138e38,dataset_dev/01_opishnyan_ceramics/o253.jpg,01_opishnyan_ceramics,validation,0,dataset_dev,candidate_0c6d4cf5c494f47c,obj_single_110c9fea10138e38,,img_1fce5d45a91c61fe,dataset_test/01_opishnyan_ceramics/o254.jpg,01_opishnyan_ceramics,train,1,dataset_test,candidate_c926a1f08cae4540,obj_single_1fce5d45a91c61fe,,0.940171182,0.984356463,true,true,true,false,false,true,true,false,train_vs_validation
44,simcomp_acc7f3939a49a517,review,1.009727037,img_4138ddd251940fe0,dataset_dev/01_opishnyan_ceramics/o315_1.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_bb7c37a1735f0d29,obj_manual_109,src_manual_109,img_4af5d3b94ef5f165,dataset_dev/01_opishnyan_ceramics/o316_2.jpeg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_f144d2e174bfddbe,obj_manual_139,src_manual_139,0.939046144,0.972730339,true,false,true,false,false,false,true,false,
45,simcomp_42031ab351400073,review,1.008220962,img_9799c7b44a442e8b,dataset_dev/01_opishnyan_ceramics/o376_3.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_3ec00b192d9e069b,obj_manual_044_a,src_manual_044,img_d0833ac497c47d30,dataset_test/01_opishnyan_ceramics/o375_3.jpg,01_opishnyan_ceramics,train,0,dataset_test,candidate_0b2871a0da4df4f5,obj_manual_001_a,src_manual_001,0.937645495,0.976285160,true,false,true,false,false,false,true,false,
46,simcomp_bac7f4deb424ea2a,review,1.007411877,img_89c4037bb0217b13,dataset_dev/02_ornek/kt007.jpg,02_ornek,train,1,dataset_dev,candidate_71bb8779956f36c6,obj_single_89c4037bb0217b13,,img_dea2694e72bdb5da,dataset_dev/02_ornek/kt002.jpg,02_ornek,train,3,dataset_dev,candidate_1e48ba070f65e463,obj_single_dea2694e72bdb5da,,0.936893046,0.954561651,true,false,true,false,false,false,true,false,
47,simcomp_45a862a3fd23fef4,review,1.007287477,img_60230e8e587cde3e,dataset_dev/03_bubnivka_ceramics/b133.jpg,03_bubnivka_ceramics,train,2,dataset_dev,candidate_a3f0fa9dc6a49434,obj_single_60230e8e587cde3e,,img_8c157450a217c62a,dataset_test/03_bubnivka_ceramics/b147.jpg,03_bubnivka_ceramics,validation,3,dataset_test,candidate_6c939d2d29e94936,obj_single_8c157450a217c62a,,0.936777353,0.968385994,true,false,true,false,false,true,true,false,train_vs_validation
48,simcomp_42031ab351400073,review,1.007237550,img_2b9ab68e2321d4eb,dataset_dev/01_opishnyan_ceramics/o375_2.jpg,01_opishnyan_ceramics,train,0,dataset_dev,candidate_0b2871a0da4df4f5,obj_manual_001_a,src_manual_001,img_bbd236a1de7ff5f0,dataset_dev/01_opishnyan_ceramics/o376_4.jpg,01_opishnyan_ceramics,train,2,dataset_dev,candidate_3ec00b192d9e069b,obj_manual_044_a,src_manual_044,0.936730921,0.974801481,true,false,true,false,false,false,true,false,
49,simcomp_95f5cc9ffb25febc,review,1.006897226,img_0fac5736468af3a0,dataset_dev/02_ornek/kt293.jpg,02_ornek,train,4,dataset_dev,candidate_cf48ff0596d55d42,obj_single_0fac5736468af3a0,,img_8bf279a9dba415f7,dataset_dev/02_ornek/kt295.jpg,02_ornek,train,3,dataset_dev,candidate_5a7e41eff1d77054,obj_single_8bf279a9dba415f7,,0.936414421,0.957471132,true,false,true,false,false,false,true,false,
50,simcomp_2815a815ea64cbf7,review,1.006524281,img_36469d06261e9f21,dataset_dev/02_ornek/kt025.jpg,02_ornek,train,4,dataset_dev,candidate_82bc554e22178928,obj_single_36469d06261e9f21,,img_b64faf91caada9dd,dataset_dev/02_ornek/kt026.jpg,02_ornek,train,2,dataset_dev,candidate_9f6e5d692da47c1d,obj_single_b64faf91caada9dd,,0.936067581,0.978174925,true,false,true,false,false,false,true,false,
51,simcomp_45a862a3fd23fef4,review,1.005332188,img_8c157450a217c62a,dataset_test/03_bubnivka_ceramics/b147.jpg,03_bubnivka_ceramics,validation,3,dataset_test,candidate_6c939d2d29e94936,obj_single_8c157450a217c62a,,img_ddccc185ea5cb3ce,dataset_test/03_bubnivka_ceramics/b132.jpg,03_bubnivka_ceramics,train,1,dataset_test,candidate_d0a0a2be61529c41,obj_single_ddccc185ea5cb3ce,,0.934958935,0.968450963,true,false,true,false,false,true,true,false,train_vs_validation
52,simcomp_3c009b55571ccca3,review,1.004942339,img_44dae0b6e6112b8f,dataset_test/01_opishnyan_ceramics/o362_1.jpg,01_opishnyan_ceramics,train,4,dataset_test,candidate_7913d1d0d4c6c1be,obj_manual_009_c,src_manual_009,img_8d2701f4edef4fb2,dataset_dev/01_opishnyan_ceramics/o361_1.jpg,01_opishnyan_ceramics,train,3,dataset_dev,candidate_b59214539333dc41,obj_manual_106,src_manual_106,0.900418997,0.984843493,false,true,true,false,false,false,true,false,
53,simcomp_d0ca4fcedb645d2a,review,1.004923159,img_c1a10ea4766e4ce5,dataset_dev/01_opishnyan_ceramics/o357.jpg,01_opishnyan_ceramics,validation,4,dataset_dev,candidate_2c73140f7a4579b4,obj_single_c1a10ea4766e4ce5,,img_e6bbaf3dda9cc4c0,dataset_test/01_opishnyan_ceramics/o303.jpeg,01_opishnyan_ceramics,train,4,dataset_test,candidate_b011f369d0632277,obj_single_e6bbaf3dda9cc4c0,,0.934578538,0.969780266,true,false,true,false,false,true,false,false,train_vs_validation
