component_id,review_priority,member_count,pair_count,max_cosine_cls_patch_concat,max_cosine_patch_mean,ornament_labels,production_splits,cv_folds,cross_production_split,cross_cv_fold,touches_current_test,image_ids,relative_paths
simcomp_768d54a7a1a17eb1,critical,3,3,0.950434387,0.988385439,01_opishnyan_ceramics,train|validation,0|1|2,true,true,false,img_166c65513bea513d|img_16cd80834f899481|img_75f90ed598c0000c,dataset_test/01_opishnyan_ceramics/o379_1.jpg|dataset_dev/01_opishnyan_ceramics/o377_1.jpg|dataset_dev/01_opishnyan_ceramics/o378_1.jpg
simcomp_d68678c7e3403ee6,critical,3,2,0.938068807,0.988479853,01_opishnyan_ceramics,test|train,0,true,false,true,img_5e5f15214adb0fa2|img_c91f0cc2cfb74ca9|img_f8226a72a14f37e4,dataset_test/01_opishnyan_ceramics/o371_1.jpg|dataset_dev/01_opishnyan_ceramics/o372_1.jpg|dataset_dev/01_opishnyan_ceramics/o370_1.jpg
simcomp_f8e69f6767930319,critical,3,2,0.937050819,0.986669004,01_opishnyan_ceramics,train|validation,0|1|2,true,true,false,img_132232fc5279c9dc|img_4b15a6fe65b93e55|img_aa242586187f5fbe,dataset_test/01_opishnyan_ceramics/o283.jpeg|dataset_test/01_opishnyan_ceramics/o284.jpeg|dataset_dev/01_opishnyan_ceramics/o285.jpeg
simcomp_abba215ebfb6646d,review,3,2,0.949830115,0.982332468,01_opishnyan_ceramics,test|train,2|3,true,true,true,img_2c6cbb40945726fc|img_677eaa2cb3288f4e|img_82597470ef24da72,dataset_dev/01_opishnyan_ceramics/o318.jpeg|dataset_dev/01_opishnyan_ceramics/o316_1.jpeg|dataset_test/01_opishnyan_ceramics/o319_2.jpeg
simcomp_2d9f6d7373d13630,review,2,1,0.947873592,0.962603152,03_bubnivka_ceramics,train,0|3,false,true,false,img_0f6ab1e4b97ea2d5|img_8e9d6d0848793e2f,dataset_dev/03_bubnivka_ceramics/b176.jpg|dataset_dev/03_bubnivka_ceramics/b192.jpg
simcomp_097ef2b2edf470ff,review,2,1,0.946828365,0.977374792,01_opishnyan_ceramics,train|validation,1|3,true,true,false,img_80f19b72cbeb44b8|img_ae3d0934052191a8,dataset_dev/01_opishnyan_ceramics/o350.jpg|dataset_dev/01_opishnyan_ceramics/o348.jpg
simcomp_04e81dfde44f9958,review,2,1,0.946019351,0.970764697,05_kosiv_ceramics,train,1|2,false,true,false,img_0f709529eed7cdae|img_dc26276174d5d58b,dataset_dev/05_kosiv_ceramics/k017.jpg|dataset_dev/05_kosiv_ceramics/k074.jpg
simcomp_42031ab351400073,review,4,4,0.945767760,0.981133699,01_opishnyan_ceramics,train,0|2,false,true,false,img_2b9ab68e2321d4eb|img_9799c7b44a442e8b|img_bbd236a1de7ff5f0|img_d0833ac497c47d30,dataset_dev/01_opishnyan_ceramics/o375_2.jpg|dataset_dev/01_opishnyan_ceramics/o376_3.jpg|dataset_dev/01_opishnyan_ceramics/o376_4.jpg|dataset_test/01_opishnyan_ceramics/o375_3.jpg
simcomp_512fca3e9376a2fa,review,3,3,0.945232093,0.978797555,01_opishnyan_ceramics,test|train,0|4,true,true,true,img_263680a271f45ab6|img_5c99b427186b7fac|img_a0bd2f3d47df28bc,dataset_dev/01_opishnyan_ceramics/o344.jpeg|dataset_dev/01_opishnyan_ceramics/o343_2.jpeg|dataset_dev/01_opishnyan_ceramics/o346.jpeg
simcomp_0ca8e54e40b908c6,review,2,1,0.944170892,0.969912410,01_opishnyan_ceramics,test|train,2,true,false,true,img_f630af4581e58bf2|img_f65c2215486d520a,dataset_dev/01_opishnyan_ceramics/o317_2.jpeg|dataset_dev/01_opishnyan_ceramics/o316_3.jpeg
simcomp_4fe0871246121e18,review,2,1,0.944109976,0.973799348,01_opishnyan_ceramics,train,0|1,false,true,false,img_0cdd398c23cc0673|img_70ace851c0eea7de,dataset_dev/01_opishnyan_ceramics/o383_2.jpg|dataset_dev/01_opishnyan_ceramics/o277_1.jpg
simcomp_8ba409b1e6ce29f2,review,2,1,0.942498684,0.973298132,01_opishnyan_ceramics,train,0|1,false,true,false,img_4501eafafbe8ace5|img_6fddc613fdeb9269,dataset_dev/01_opishnyan_ceramics/o277_2.jpg|dataset_dev/01_opishnyan_ceramics/o383_1.jpg
simcomp_c037f5f168dfbf6f,review,2,1,0.940967917,0.961356461,03_bubnivka_ceramics,train,1|3,false,true,false,img_6566125c7621f292|img_9efef095aca93f37,dataset_dev/03_bubnivka_ceramics/b138.jpg|dataset_dev/03_bubnivka_ceramics/b140.jpg
simcomp_938d346e54620095,review,2,1,0.940965950,0.973067641,03_bubnivka_ceramics,train,0|3,false,true,false,img_0caeb02ddec9bc03|img_72d816de4a7b41f1,dataset_dev/03_bubnivka_ceramics/b092.jpg|dataset_dev/03_bubnivka_ceramics/b091.jpg
simcomp_5344ee5798905ecd,review,3,2,0.940171182,0.984356463,01_opishnyan_ceramics,train|validation,0|1,true,true,false,img_110c9fea10138e38|img_1fce5d45a91c61fe|img_405b61e590499e61,dataset_dev/01_opishnyan_ceramics/o253.jpg|dataset_test/01_opishnyan_ceramics/o254.jpg|dataset_test/01_opishnyan_ceramics/o252.jpg
simcomp_acc7f3939a49a517,review,4,3,0.939046144,0.978437781,01_opishnyan_ceramics,test|train|validation,0|2|3,true,true,true,img_4138ddd251940fe0|img_4af5d3b94ef5f165|img_d5fc4b4084497255|img_d68d7bb3a9de6907,dataset_dev/01_opishnyan_ceramics/o315_1.jpg|dataset_dev/01_opishnyan_ceramics/o316_2.jpeg|dataset_test/01_opishnyan_ceramics/o319_1.jpeg|dataset_dev/01_opishnyan_ceramics/o314_2.jpg
simcomp_bac7f4deb424ea2a,review,2,1,0.936893046,0.954561651,02_ornek,train,1|3,false,true,false,img_89c4037bb0217b13|img_dea2694e72bdb5da,dataset_dev/02_ornek/kt007.jpg|dataset_dev/02_ornek/kt002.jpg
simcomp_45a862a3fd23fef4,review,3,2,0.936777353,0.968450963,03_bubnivka_ceramics,train|validation,1|2|3,true,true,false,img_60230e8e587cde3e|img_8c157450a217c62a|img_ddccc185ea5cb3ce,dataset_dev/03_bubnivka_ceramics/b133.jpg|dataset_test/03_bubnivka_ceramics/b147.jpg|dataset_test/03_bubnivka_ceramics/b132.jpg
simcomp_95f5cc9ffb25febc,review,2,1,0.936414421,0.957471132,02_ornek,train,3|4,false,true,false,img_0fac5736468af3a0|img_8bf279a9dba415f7,dataset_dev/02_ornek/kt293.jpg|dataset_dev/02_ornek/kt295.jpg
simcomp_2815a815ea64cbf7,review,2,1,0.936067581,0.978174925,02_ornek,train,2|4,false,true,false,img_36469d06261e9f21|img_b64faf91caada9dd,dataset_dev/02_ornek/kt025.jpg|dataset_dev/02_ornek/kt026.jpg
simcomp_d0ca4fcedb645d2a,review,3,2,0.934578538,0.969780266,01_opishnyan_ceramics,train|validation,2|4,true,true,false,img_74538819b5b0bbf1|img_c1a10ea4766e4ce5|img_e6bbaf3dda9cc4c0,dataset_test/01_opishnyan_ceramics/o358.jpg|dataset_dev/01_opishnyan_ceramics/o357.jpg|dataset_test/01_opishnyan_ceramics/o303.jpeg
simcomp_591d9116d4ccc493,review,2,1,0.934378684,0.967444539,03_bubnivka_ceramics,validation,1,false,false,false,img_37b080576530043f|img_d244aad3c09cd7f4,dataset_dev/03_bubnivka_ceramics/b131.jpg|dataset_dev/03_bubnivka_ceramics/b146.jpg
simcomp_70aa9308ec7898e3,review,2,1,0.934130609,0.956594944,05_kosiv_ceramics,test|train,0,true,false,true,img_27e5a8e5c679e3e8|img_a10839705ffd64e9,dataset_dev/05_kosiv_ceramics/k356.jpg|dataset_dev/05_kosiv_ceramics/k326.jpg
simcomp_4f14e92e80ed24cd,review,2,1,0.934119046,0.984356046,01_opishnyan_ceramics,validation,1|2,false,true,false,img_0c210b69b82f1fd8|img_af90f81ca583b88d,dataset_dev/01_opishnyan_ceramics/o320_1.jpg|dataset_test/01_opishnyan_ceramics/o321_1.jpg
simcomp_e4761db4595c569d,review,2,1,0.932538152,0.970688462,01_opishnyan_ceramics,train,0|4,false,true,false,img_167353db1dfd711a|img_ce66ac894919a50f,dataset_dev/01_opishnyan_ceramics/o339_1.jpeg|dataset_dev/01_opishnyan_ceramics/o338_1.jpg
simcomp_416cf17ae42fc685,review,3,2,0.932275891,0.981492102,01_opishnyan_ceramics,train|validation,3|4,true,true,false,img_9a0c0533930e168b|img_ab31ebe0c4fe0d31|img_afdca78c8e225301,dataset_dev/01_opishnyan_ceramics/o300.jpeg|dataset_dev/01_opishnyan_ceramics/o294.jpg|dataset_test/01_opishnyan_ceramics/o299.jpeg
simcomp_7c0fb3475be426a4,review,3,2,0.931369960,0.980758250,01_opishnyan_ceramics,train,2,false,false,false,img_32a7f6a06ea40101|img_790386d594946b5a|img_bcc8cd23126a5768,dataset_dev/01_opishnyan_ceramics/o332_1.jpeg|dataset_dev/01_opishnyan_ceramics/o333_1.jpeg|dataset_test/01_opishnyan_ceramics/o330_1.jpeg
simcomp_fd8556c6e14eae8f,review,2,1,0.931364298,0.977824092,01_opishnyan_ceramics,test|train,2,true,false,true,img_18060d827c3daf81|img_e3fe3fcda804d096,dataset_test/01_opishnyan_ceramics/o323.jpg|dataset_dev/01_opishnyan_ceramics/o322.jpg
simcomp_f4a7bf388b301cb4,review,2,1,0.931079865,0.980792165,01_opishnyan_ceramics,train,0|4,false,true,false,img_8b0729441c7ed0a4|img_b40d7077a7e1b17e,dataset_dev/01_opishnyan_ceramics/o327.jpg|dataset_dev/01_opishnyan_ceramics/o326.jpg
simcomp_c5fa37caf75589be,review,2,1,0.930511236,0.968721032,01_opishnyan_ceramics,train,0|2,false,true,false,img_75759a575b270237|img_a41f538eaa3ca4fd,dataset_dev/01_opishnyan_ceramics/o376_1.jpg|dataset_test/01_opishnyan_ceramics/o375_1.jpg
simcomp_9d144906c82a8155,review,2,1,0.930358768,0.957093239,02_ornek,test|train,4,true,false,true,img_651297687ee0d338|img_c72e1cf108150e9a,dataset_dev/02_ornek/kt035.jpg|dataset_dev/02_ornek/kt033.jpg
simcomp_a2451143f007723a,review,2,1,0.921612740,0.982646585,01_opishnyan_ceramics,train|validation,0|1,true,true,false,img_763f34bf262c091b|img_e115d071d69dceb4,dataset_test/01_opishnyan_ceramics/o379_2.jpg|dataset_dev/01_opishnyan_ceramics/o378_2.jpg
simcomp_d1a83a4e0e9cb188,review,2,1,0.916901946,0.980548978,01_opishnyan_ceramics,train,0|4,false,true,false,img_74f059af8cdcd958|img_a0bfebe1febaa18c,dataset_test/01_opishnyan_ceramics/o345.jpeg|dataset_dev/01_opishnyan_ceramics/o343_1.jpeg
simcomp_f56c7f554f88ec35,review,2,1,0.910915256,0.983676374,01_opishnyan_ceramics,test|validation,2,true,false,true,img_572c2f01a7795729|img_e7fbbd29e7795674,dataset_dev/01_opishnyan_ceramics/o279.jpg|dataset_dev/01_opishnyan_ceramics/o278.jpg
simcomp_c253c2cb6ed96911,review,3,2,0.905960023,0.983136356,01_opishnyan_ceramics,train,0|1|4,false,true,false,img_380bccfc3701715d|img_ac33dd3db98a540d|img_d9f2362b82df1168,dataset_dev/01_opishnyan_ceramics/o272.jpg|dataset_dev/01_opishnyan_ceramics/o273.jpg|dataset_test/01_opishnyan_ceramics/o274.jpg
simcomp_3c009b55571ccca3,review,2,1,0.900418997,0.984843493,01_opishnyan_ceramics,train,3|4,false,true,false,img_44dae0b6e6112b8f|img_8d2701f4edef4fb2,dataset_test/01_opishnyan_ceramics/o362_1.jpg|dataset_dev/01_opishnyan_ceramics/o361_1.jpg
